person_id,name,birth_date,birth_place,occupation,education,nationality,dân tộc,active_years,height,spouse,children,relatives,notable_works
Trần Tiểu Vy,Trần Tiểu Vy,birth_date,"Hội An, Quảng Nam, Việt Nam","Người mẫu, Nhân vật truyền hình, Diễn viên",* Trường Trung học phổ thông Trần Quý Cáp (Quảng Nam) * Trường Trung học phổ thông Vạn Hạnh (TPHCM) * Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2018–nay,"1,75m",,,,
Thanh Hằng (nghệ sĩ cải lương),Thanh Hằng (nghệ sĩ cải lương),birth_date,"Sài Gòn, Việt Nam Cộng hòa","Nghệ sĩ cải lương, Diễn viên điện ảnh, Diễn viên truyền hình",,Việt Nam,ethnicity,1975 – nay,,,,,
Nguyễn Cao Kỳ Duyên (người mẫu),Nguyễn Cao Kỳ Duyên (người mẫu),birth_date,"Thành phố Nam Định, Nam Định, Việt Nam","Người mẫu, Nhân vật truyền hình, Diễn viên",* Trường THPT chuyên Lê Hồng Phong (Nam Định) * Trường Đại học Ngoại thương,Việt Nam,ethnicity,2014–nay,"1,76m",,,Nguyễn Tuấn Linh ((anh trai)),
Quân A.P,Quân A.P,birth_date,"Hà Nội, Việt Nam",Ca sĩ,*Trường Trung học Phổ thông Phan Đình Phùng (Hà Nội) *Trường Đại học Văn hóa - Nghệ thuật Quân đội,Việt Nam,ethnicity,2019–nay,,,,,
Thái Hòa (diễn viên),Thái Hòa (diễn viên),birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,1998–nay,,"Cát Phượng (2004), Hồng Thu (2012)",2,,
Tinna Tình,Tinna Tình,birth_date,"Brno, Séc","Ca sĩ, Nhạc sĩ, Diễn viên, Người mẫu",,Việt Nam,ethnicity,2000 - nay,,,,,
Phi Thanh Vân,Phi Thanh Vân,birth_date,,"Diễn viên, người mẫu, ca sĩ, MC, Hoa hậu",,,ethnicity,2007 &ndash; nay,,*Thierry Blanc (2008) *Nguyễn Bảo Duy (2014),1,,
Khương Ngọc,Khương Ngọc,birth_date,"Nha Trang, Khánh Hòa, Việt Nam","Diễn viên, Người dẫn chương trình, Nhạc sĩ, Ca sĩ, Nhà làm phim",Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2003–nay,"1,8m",Hải Yến (2022),1,,
Mai Thành,Mai Thành,birth_date,"An Ngãi Trung, Bến Tre, Liên bang Đông Dương",Diễn viên,,,ethnicity,1986 - 2011,,,,,
Nguyễn Hậu,Nguyễn Hậu,birth_date,"Sa Đéc, Đồng Tháp, Quốc gia Việt Nam",Diễn viên,,Việt Nam,ethnicity,1974 – 2018,,,,,
Quốc Huy (diễn viên),Quốc Huy (diễn viên),birth_date,"Cần Thơ, Việt Nam",Diễn viên,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2006–nay,,,,,
Jayvee Mai Thế Hiệp,Jayvee Mai Thế Hiệp,birth_date,"Biên Hòa, Đồng Nai, Việt Nam Cộng hòa","Diễn viên, Đạo diễn, Nhà biên kịch, Nhà sản xuất",,,ethnicity,1996 – nay,,,,,
Thanh Bùi,Thanh Bùi,birth_date,"Adelaide, Victoria, Úc","Ca sĩ, Nhạc sĩ sáng tác ca khúc, Nhà sản xuất thu âm",,,ethnicity,2004nay,,Trương Huệ Vân (2013),2,,
Johnny Trí Nguyễn,Johnny Trí Nguyễn,birth_date,"Bình Dương, Việt Nam Cộng hòa","Diễn viên, Võ sư",,"Hoa Kỳ, Việt Nam",ethnicity,1994–nay,,Cathy Việt Thi (2000),2,* Charlie Nguyễn ((anh trai)) * Tawny Trúc Nguyễn ((em gái)) * Nguyễn Chánh Tín ((cháu ruột)),
Yaya Trương Nhi,Yaya Trương Nhi,birth_date,,,,,ethnicity,,,,,,
Thân Thúy Hà,Thân Thúy Hà,birth_date,"Cái Bè, Tiền Giang","Diễn viên, người mẫu",,,ethnicity,2004 – nay,,,,,
Ngọc Diệp,Ngọc Diệp,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu, Người dẫn chương trình, Nhà báo, Nhà sản xuất điện ảnh","Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",Việt Nam,ethnicity,2006–nay,,Victor Vũ (2016),2,,
Mai Thế Hiệp,Mai Thế Hiệp,birth_date,"Biên Hòa, Đồng Nai, Việt Nam Cộng hòa","Diễn viên, Đạo diễn, Nhà biên kịch, Nhà sản xuất",,,ethnicity,1996 – nay,,,,,
Dustin Nguyễn,Dustin Nguyễn,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Diễn viên, Nhà làm phim",,"Hoa Kỳ, Việt Nam",ethnicity,1985–nay,,* Angela Rockwood (2001) * Bebe Phạm (2012),4,,
Thu Trang,Thu Trang,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Nhà sản xuất phim, Đạo diễn",,Việt Nam,ethnicity,,,Tiến Luật (2011),1,,
Kim Xuân,Kim Xuân,birth_date,,Diễn viên điện ảnh,,Việt Nam,ethnicity,1970 – nay,,,,,
Thụy Mười,Thụy Mười,birth_date,,,,,ethnicity,,,,,,
365daband,365daband,birth_date,,,,,ethnicity,,,,,,
Võ Ngọc Trai,Võ Ngọc Trai,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, MC",,Việt Nam,ethnicity,2001 – nay,,,,,
