person_id,name,birth_date,birth_place,occupation,education,nationality,dân tộc,active_years,height,spouse,children,relatives,notable_works
Khánh Phương,Khánh Phương,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Ca sĩ,,Việt Nam,ethnicity,2006nay,,,,,
Hải Băng,Hải Băng,birth_date,,,,,ethnicity,,,,,,
Thu Tuyết,Thu Tuyết,birth_date,,,,,ethnicity,,,,,,
Bùi Tấn Trường,Bùi Tấn Trường,birth_date,,,,,ethnicity,,,,,,
Harry Lu,Harry Lu,birth_date,"Đài Bắc, Đài Loan",Diễn viên,,Việt Nam,ethnicity,,,,,,
Hoàng Thùy Linh,Hoàng Thùy Linh,birth_date,"Hà Nội, Việt Nam","Ca sĩ, Diễn viên, Người mẫu",,Việt Nam,ethnicity,2004–nay,"1,66m",,,,
Phạm Quỳnh Anh,Phạm Quỳnh Anh,birth_date,"Hà Nội, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,,,Quang Huy (2012),3,,
Chi Pu,Chi Pu,birth_date,"Hà Nội, Việt Nam","Ca sĩ, Diễn viên, Người mẫu, Nhân vật truyền hình",Đại học RMIT ''(bảo lưu/chưa tốt nghiệp)'',,ethnicity,,"1,63m",,,,
Minh Hằng,Minh Hằng,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2003-nay,"1,65m",Nguyễn Quốc Bảo (2022),1,,
Chí Thiện (sinh năm 1988),Chí Thiện (sinh năm 1988),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên, MC",,Việt Nam,ethnicity,2008 – nay,,,,,
Tường Vi (diễn viên),Tường Vi (diễn viên),birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2006 – nay,,,,,Danh sách
Hồng Nhung,Hồng Nhung,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",* Ca sĩ * nhạc sĩ,,,ethnicity,,,"TBA (2 năm), Kevin Gilmore (2011–2018)",2,"Lê Văn Ngoạn (ông nội), Đới Xuân Ninh (ông ngoại), Bằng Kiều (chú họ), Lope Phạm (cháu họ)",
Siu Black,Siu Black,birth_date,,,,,ethnicity,,,,,,
Nhan Phúc Vinh,Nhan Phúc Vinh,birth_date,"Cần Thơ, Việt Nam","Diễn viên, Người mẫu",*Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh *Trường Đại học Cần Thơ,Việt Nam,ethnicity,2008 – nay,,,,,
Sơn Tùng M-TP,Sơn Tùng M-TP,birth_date,"Thành phố Thái Bình, Thái Bình, Việt Nam","Ca sĩ kiêm sáng tác nhạc, nhà sản xuất thu âm, diễn viên, rapper, doanh nhân",,Việt Nam,ethnicity,,"1,68m",,,,Danh sách
Thanh Nam,Thanh Nam,birth_date,"Châu Thành, Hậu Giang, Việt Nam Cộng hòa","Diễn viên sân khấu, Diễn viên truyền hình, điện ảnh",,Việt Nam,ethnicity,,,,,,
Lều Phương Anh,Lều Phương Anh,birth_date,,,,,ethnicity,,,,,,
Duy Khánh (diễn viên),Duy Khánh (diễn viên),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Nghệ sĩ hài, Người dẫn chương trình",,Việt Nam,ethnicity,2010–nay,,,,Nguyễn Hữu Quốc Thống ((em trai)),
Đàm Phương Linh,Đàm Phương Linh,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu, Ca sĩ, MC",,Việt Nam,ethnicity,2010 - nay,,,,,
Trọng Hiếu,Trọng Hiếu,birth_date,"Bad Kissingen, Đức","Ca sĩ, Vũ công",,Việt Nam,ethnicity,2009–nay,,,,,
Huỳnh Lập,Huỳnh Lập,birth_date,"Long Xuyên, An Giang, Việt Nam","Diễn viên, Nghệ sĩ hài, Doanh nhân, Nhà làm phim",,Việt Nam,ethnicity,2012–nay,,,,,
Thảo Trang,Thảo Trang,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Ca sĩ,,Việt Nam,ethnicity,,"1,55m",,1,,
Tăng Nhật Tuệ,Tăng Nhật Tuệ,birth_date,"Hà Nội, Việt Nam","Ca sĩ, Nhạc sĩ, Diễn viên",,Việt Nam,ethnicity,,,,,,
Nguyễn Quang Dũng,Nguyễn Quang Dũng,birth_date,,,,,ethnicity,,,,,,
Nguyễn Hải Phong,Nguyễn Hải Phong,birth_date,,,,,ethnicity,,,,,,
Uyên Linh,Uyên Linh,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Ca sĩ,,Việt Nam,ethnicity,,,,,,
Mỹ Tâm,Mỹ Tâm,birth_date,,,,,ethnicity,,,,,,
Đức Phúc,Đức Phúc,birth_date,"Hà Nội, Việt Nam","Ca sĩ, diễn viên, rapper",,Việt Nam,ethnicity,,,,,,
Phan Mạnh Quỳnh,Phan Mạnh Quỳnh,birth_date,"Diễn Vạn, Diễn Châu, Nghệ An, Việt Nam",Ca sĩ kiêm sáng tác nhạc,,Việt Nam,ethnicity,2009–nay,,Huỳnh Khánh Vy (2021),1 (1 gái),,
Lý Hải,Lý Hải,birth_date,"Châu Thành, Mỹ Tho, Việt Nam Cộng hòa","Ca sĩ, Diễn viên, Doanh nhân, Nhà làm phim",,Việt Nam,ethnicity,1991–nay,,Trần Minh Hà (2010),4,,
Võ Thành Tâm,Võ Thành Tâm,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,,Việt Nam,ethnicity,1998 – nay,,,,,
Trọng Hải,Trọng Hải,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",,,,ethnicity,,,,,,
Tiết Cương,Tiết Cương,birth_date,"Long An, Việt Nam Cộng hòa","Diễn viên điện ảnh, Diễn viên truyền hình, Diễn viên hài, Người dẫn chương trình",,Việt Nam,ethnicity,1993 &ndash; nay,,,,,
Đoan Trang,Đoan Trang,birth_date,"Nam Định, Việt Nam","Ca sĩ, Diễn viên, Người dẫn chương trình, Vũ công",,Việt Nam,ethnicity,2001 – nay,,Johan Wicklund (2012),1,,
Nhung Kate,Nhung Kate,birth_date,"Hải Phòng, Việt Nam","Diễn viên, Người dẫn chương trình, Người mẫu ảnh",,Việt Nam,ethnicity,2009–nay,,,,,
Lê Hạ Anh,Lê Hạ Anh,birth_date,,,,,ethnicity,,,,,,
Nguyễn Thùy Dương,Nguyễn Thùy Dương,birth_date,,,,,ethnicity,,,,,,
Công Dương,Công Dương,birth_date,"Hà Nội, Việt Nam","Diễn viên, người mẫu, ca sĩ",,,ethnicity,2012 – nay,,,,,
Diễm My (diễn viên),Diễm My (diễn viên),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu, Người dẫn chương trình","Trường Đại học Ngoại thương cơ sở II, Thành phố Hồ Chí Minh",Việt Nam,ethnicity,"1995 – 1998, 2005 – nay",,Vinh Nguyễn (2023),1,,
Ngọc Phước,Ngọc Phước,birth_date,,,,,ethnicity,,,,,,
Trung Lùn,Trung Lùn,birth_date,"Bình Định, Việt Nam","Diễn viên, đạo diễn",,,ethnicity,,,,,,
ảo thuật gia,ảo thuật gia,birth_date,,,,,ethnicity,,,,,,
nhà ngoại cảm,nhà ngoại cảm,birth_date,,,,,ethnicity,,,,,,
Ngọc Hiệp (diễn viên),Ngọc Hiệp (diễn viên),birth_date,"Cà Mau, Việt Nam","Diễn viên, Đạo diễn, Nhà sản xuất phim","Điện ảnh Thành phố Hồ Chí Minh (1991), Đại học Sân khấu Điện ảnh Hà Nội, (Diễn xuất: 2001, Đạo diễn: 2006)",Việt Nam,ethnicity,1987 – nay,,Nguyễn Thành Danh,1,,
ảo thuật,ảo thuật,birth_date,,,,,ethnicity,,,,,,
Trần Ngọc Trà,Trần Ngọc Trà,birth_date,"Phước Khánh, Cần Giuộc, Long An, Liên bang Đông Dương.",kỹ nữ,,,ethnicity,,,,Không có,,
Ngọc Trinh (người mẫu),Ngọc Trinh (người mẫu),birth_date,"Cầu Quan, Tiểu Cần, Trà Vinh, Việt Nam","Người mẫu, Diễn viên, Doanh nhân",,Việt Nam,ethnicity,2005–nay,"1,68m",,,"Trần Hoàng Dũng (anh trai), Trần Ngọc Bích",
Lê Thị Nhị,Lê Thị Nhị,birth_date,,,,,ethnicity,,,,,,
Đinh Y Nhung,Đinh Y Nhung,birth_date,"Ba Tơ, Quảng Ngãi, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2002 – nay,"1,64m",Lưu Huỳnh (2004),1,,Danh sách
Thanh Thức,Thanh Thức,birth_date,"Trà Vinh, Việt Nam","Người mẫu, Diễn viên",Đại học Giao thông Vận tải Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2006 – nay,,,,,
Mạnh Dung,Mạnh Dung,birth_date,,Diễn viên; Nhà giáo,,,ethnicity,1985 - nay,,,,,
Nam Cường (ca sĩ),Nam Cường (ca sĩ),birth_date,"Đà Nẵng, Việt Nam","Ca sĩ, Diễn viên, MC",,Việt Nam,ethnicity,2005 - nay,,,,,
Mai Phương (diễn viên),Mai Phương (diễn viên),birth_date,"Hải Phòng, Việt Nam","Diễn viên, Ca sĩ, Người dẫn chương trình",,Việt Nam,ethnicity,1997 – 2019,,,1,,
Thanh Hoàng (nghệ sĩ),Thanh Hoàng (nghệ sĩ),birth_date,,,,,ethnicity,,,,,,
Quang Tuấn,Quang Tuấn,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,,Việt Nam,ethnicity,2006–nay,,Linh Phi (2016),2,,Danh sách
Phú Đôn,Phú Đôn,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên,,,ethnicity,1995 - nay,,,,,
Chiều Xuân,Chiều Xuân,birth_date,,"Diễn viên điện ảnh, Diễn viên truyền hình",,Việt Nam,ethnicity,,,,,,
Võ Tấn Phát,Võ Tấn Phát,birth_date,"Trà Ôn, Vĩnh Long, Việt Nam","Diễn viên, người dẫn chương trình",,,ethnicity,2017 – nay,,,,,
Ngọc Thư,Ngọc Thư,birth_date,,"Diễn viên, Quân nhân",,,ethnicity,,,,,,
Hoàng Hà (diễn viên),Hoàng Hà (diễn viên),birth_date,"Hà Nội, Việt Nam",Diễn viên,,Việt Nam,ethnicity,,,,,,
Đơn Dương (diễn viên),Đơn Dương (diễn viên),birth_date,,Diễn viên,,Việt Nam,ethnicity,1982 – 2003,,"Vũ Xuân Sanh (1983), Mỹ Hạnh (2008)",,,
Mai Hoa (diễn viên),Mai Hoa (diễn viên),birth_date,,diễn viên,,,ethnicity,1996 - 2006,,,,,
Đỗ Nguyễn Lan Hà,Đỗ Nguyễn Lan Hà,birth_date,,Diễn viên,,Việt Nam,ethnicity,1993 – nay,,,,,
Lý Hồng Ân,Lý Hồng Ân,birth_date,,,,,ethnicity,,,,,,
Kiều Trinh,Kiều Trinh,birth_date,,,,,ethnicity,,,,,,
Huy Cường,Huy Cường,birth_date,,Diễn viên,,,ethnicity,2003 - nay,,,,,
Phúc An,Phúc An,birth_date,,,,,ethnicity,,,,,,
Huy Khang,Huy Khang,birth_date,,,,,ethnicity,,,,,,
Trần Lực,Trần Lực,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa","Diễn viên, Nhà làm phim",,Việt Nam,ethnicity,1983 – nay,,,,,
Thanh Thúy (ca sĩ sinh 1943),Thanh Thúy (ca sĩ sinh 1943),birth_date,,,,,ethnicity,,,,,,
Bùi Lan Hương,Bùi Lan Hương,birth_date,"Hà Nội, Việt Nam",Ca sĩ kiêm sáng tác nhạc,,Việt Nam,ethnicity,2017–nay,163.9 cm,,,,
Khánh Ly,Khánh Ly,birth_date,,,,,ethnicity,,,,,,
Quỳnh Lam,Quỳnh Lam,birth_date,"Đồng Nai, Việt Nam",Diễn viên,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2007 - nay,,,,,
Lương Bích Hữu,Lương Bích Hữu,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Người mẫu, Diễn viên, Nhạc sĩ",,Việt Nam,ethnicity,2003 – nay,,,,,
Lê Công Hoàng (diễn viên),Lê Công Hoàng (diễn viên),birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,Đại học Văn Lang,Việt Nam,ethnicity,2015 – nay,,,,,Danh sách
Việt Trinh,Việt Trinh,birth_date,,"Diễn viên điện ảnh, Diễn viên kịch nói, Đạo diễn, Người dẫn chương trình, Giám khảo",,Việt Nam,ethnicity,1990 – 2022,,,,,
Phạm Hồng Phước,Phạm Hồng Phước,birth_date,,,,,ethnicity,,,,,,
Ngọc Thanh Tâm,Ngọc Thanh Tâm,birth_date,"Nha Trang, Khánh Hòa, Việt Nam",Diễn viên,Đại học RMIT,Việt Nam,ethnicity,2010–nay,,,,,Danh sách
Hoàng Phúc,Hoàng Phúc,birth_date,,,,,ethnicity,,,,,,
Hoàng Nhân,Hoàng Nhân,birth_date,,,,,ethnicity,,,,,,
Tô Văn Đực,Tô Văn Đực,birth_date,,,,,ethnicity,,,,,,
Lý Huỳnh,Lý Huỳnh,birth_date,"Vĩnh Long, Liên bang Đông Dương","Võ sư, diễn viên",,Việt Nam,ethnicity,,,,,,
Thương Tín (diễn viên),Thương Tín (diễn viên),birth_date,"Phan Rang, Việt Nam Cộng hòa","Diễn viên, Đạo diễn",,,ethnicity,,,,,,
Phương Thanh (diễn viên),Phương Thanh (diễn viên),birth_date,,Diễn viên điện ảnh,,Việt Nam,ethnicity,1976 – 2007,,Nguyễn Anh Dũng (1986),,,
Thùy Liên,Thùy Liên,birth_date,,,,,ethnicity,,,,,,
Khương Mễ,Khương Mễ,birth_date,"Châu Đốc, Liên bang Đông Dương","Đạo diễn điện ảnh, Nhà quay phim",,,ethnicity,1939 – 2002,,,,,
Lê Văn Lộc (diễn viên),Lê Văn Lộc (diễn viên),birth_date,,,,,ethnicity,,,,,,
Lương Triều Vĩ,Lương Triều Vĩ,birth_date,Hồng Kông thuộc Anh,Diễn viên,,,ethnicity,,,Lưu Gia Linh (2008),,,
Trần Nữ Yên Khê,Trần Nữ Yên Khê,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên,,,ethnicity,1987 – nay,,Trần Anh Hùng,Trần Lăng Khê,,
Như Quỳnh (diễn viên),Như Quỳnh (diễn viên),birth_date,,Diễn viên điện ảnh,,Việt Nam,ethnicity,1973 – nay,,Nguyễn Hữu Bảo (1980),,,
Ngô Vũ Quang Hải,Ngô Vũ Quang Hải,birth_date,,"Đạo diễn, Diễn viên",,,ethnicity,1993 - nay,,,,,
Nguyễn Tuyết Ngân,Nguyễn Tuyết Ngân,birth_date,,,,,ethnicity,,,,,,
Đoàn Việt Hà,Đoàn Việt Hà,birth_date,,,,,ethnicity,,,,,,
Bùi Hoàng Huy,Bùi Hoàng Huy,birth_date,,,,,ethnicity,,,,,,
Võ Vĩnh Phúc,Võ Vĩnh Phúc,birth_date,,,,,ethnicity,,,,,,
Lê Đình Huy,Lê Đình Huy,birth_date,,,,,ethnicity,,,,,,
Phạm Ngọc Liễu,Phạm Ngọc Liễu,birth_date,,,,,ethnicity,,,,,,
Lê Tuấn Anh (diễn viên),Lê Tuấn Anh (diễn viên),birth_date,,,,,ethnicity,,,,,,
Bùi Thị Minh Đức,Bùi Thị Minh Đức,birth_date,,,,,ethnicity,,,,,,
Trịnh Thịnh,Trịnh Thịnh,birth_date,,Diễn viên điện ảnh,,Việt Nam,ethnicity,1956 – 2002,,,,,
Nguyễn Đình Thơ,Nguyễn Đình Thơ,birth_date,,,,,ethnicity,,,,,,
Việt Thắng (diễn viên),Việt Thắng (diễn viên),birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên sân khấu,,,ethnicity,,,,,,
Thanh Lam,Thanh Lam,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",* Ca sĩ,Học viện Âm nhạc Quốc gia Việt Nam,,ethnicity,,,,3,Trí Minh (em trai),
Gia Khoan,Gia Khoan,birth_date,,,,,ethnicity,,,,,,
Huang Kiem,Huang Kiem,birth_date,,,,,ethnicity,,,,,,
Chu Hùng,Chu Hùng,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên,,,ethnicity,,,NS Kim Thu,2,,
Mạnh Cường,Mạnh Cường,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa","Diễn viên, Đạo diễn",,Việt Nam,ethnicity,1988 &ndash; nay,,,,,
Trần Quốc Hùng,Trần Quốc Hùng,birth_date,,,,,ethnicity,,,,,,
Võ Thế Vỹ,Võ Thế Vỹ,birth_date,,,,,ethnicity,,,,,,
Trương Thanh Nghi,Trương Thanh Nghi,birth_date,,,,,ethnicity,,,,,,
Phạm Hải Trường,Phạm Hải Trường,birth_date,,,,,ethnicity,,,,,,
Ánh Hoa,Ánh Hoa,birth_date,"Mỏ Cày, Bến Tre, Đại Nam, Liên bang Đông Dương","Nghệ sĩ Cải lương, Diễn viên truyền hình",,Việt Nam,ethnicity,1948-2020,,"Nghệ sĩ Minh Chí (1924-1995), (kết hôn 1956)",4 người con,,"Vở Cải lương Kiều Nguyệt Nga vai Lão Bà (Mẹ của Kiều Nguyệt Nga) , Phim điện ảnh Người tình vai Bà Đô , Phim điện ảnh Mùi đu đủ xanh vai Bà Ty"
Trần Lộc,Trần Lộc,birth_date,,,,,ethnicity,,,,,,
Trần Minh Tuấn (diễn viên),Trần Minh Tuấn (diễn viên),birth_date,,,,,ethnicity,,,,,,
Nguyễn Văn Tùng (diễn viên),Nguyễn Văn Tùng (diễn viên),birth_date,,,,,ethnicity,,,,,,
Phạm Duy Hương,Phạm Duy Hương,birth_date,,,,,ethnicity,,,,,,
Lê Thái Ngọc Hoan,Lê Thái Ngọc Hoan,birth_date,,,,,ethnicity,,,,,,
Bá Phan Châu Toàn,Bá Phan Châu Toàn,birth_date,,,,,ethnicity,,,,,,
Đặng Minh Châu (diễn viên),Đặng Minh Châu (diễn viên),birth_date,,,,,ethnicity,,,,,,
Trần Văn Lợi,Trần Văn Lợi,birth_date,,,,,ethnicity,,,,,,
Lê Anh Sơn,Lê Anh Sơn,birth_date,,,,,ethnicity,,,,,,
Phạm Văn Nhân (diễn viên),Phạm Văn Nhân (diễn viên),birth_date,,,,,ethnicity,,,,,,
Đặng Văn Đức,Đặng Văn Đức,birth_date,,,,,ethnicity,,,,,,
Trần Nhật Vũ,Trần Nhật Vũ,birth_date,,,,,ethnicity,,,,,,
Nguyễn Hữu Châu (quần chúng),Nguyễn Hữu Châu (quần chúng),birth_date,,,,,ethnicity,,,,,,
Trương Minh Quốc Thái,Trương Minh Quốc Thái,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,1997 &ndash; nay,,,,,
Michael Caine,Michael Caine,birth_date,,,,,ethnicity,,,,,,
Brendan Fraser,Brendan Fraser,birth_date,,,,,ethnicity,,,,,,
Đỗ Thị Hải Yến,Đỗ Thị Hải Yến,birth_date,"Bắc Ninh, Việt Nam",Diễn viên,,Việt Nam,ethnicity,1999 – nay,,"Ngô Quang Hải (2000), Calvin Tài Lâm (2012)",,,
Rade Šerbedžija,Rade Šerbedžija,birth_date,,,,,ethnicity,,,,,,
Ngô Quang Hải,Ngô Quang Hải,birth_date,,"Đạo diễn, Diễn viên",,,ethnicity,1993 - nay,,,,,
Công Lý (diễn viên),Công Lý (diễn viên),birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa","Diễn viên, Nghệ sĩ hài",Trường Đại học Sân khấu và Điện ảnh Hà Nội,,ethnicity,1993nay,,"Thục Khuê, Thảo Vân (2004), Ngọc Hà (2021)",2,,
Hồ Bích Trâm,Hồ Bích Trâm,birth_date,"Phổ Vinh, Đức Phổ, Quảng Ngãi, Việt Nam","Diễn viên, vlogger",,Việt Nam,ethnicity,2010–nay,,,1,,
Mai Ngô,Mai Ngô,birth_date,,,,,ethnicity,,,,,,
File:LÊ PHƯƠNG 2023.jpg,File:LÊ PHƯƠNG 2023.jpg,birth_date,,,,,ethnicity,,,,,,
Lê Phương,Lê Phương,birth_date,"Trà Vinh, Việt Nam","Diễn viên, Người mẫu, Ca sĩ",Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2006&ndash;nay,,*Quách Ngọc Ngoan (2012) *Phạm Trung Kiên (2017),2,,
Nhật Kim Anh,Nhật Kim Anh,birth_date,"Thanh Hóa, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2001–nay,"1,65m",Ngô Nguyễn Phúc Bửu Lộc (2014),2,,
Yu Dương,Yu Dương,birth_date,,,,,ethnicity,,,,,,
Trung Dũng (diễn viên),Trung Dũng (diễn viên),birth_date,"Vĩnh Long, Việt Nam Cộng hòa","Diễn viên, MC",Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,1999 – nay,,,,,
Mai Thu Huyền,Mai Thu Huyền,birth_date,"Hà Nội, Việt Nam","Diễn viên, Người mẫu, Doanh nhân, Người dẫn chương trình, Nhà làm phim",,Việt Nam,ethnicity,1995nay,,Thang Văn Lương (2002),2,,
Cẩm Ly,Cẩm Ly,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Ca sĩ,,Việt Nam,ethnicity,1993–nay,,Minh Vy (2004),2,* Minh Tuyết * Hà Phương,
Lê Minh Thu,Lê Minh Thu,birth_date,,,,,ethnicity,,,,,,
Võ Thị Sáu,Võ Thị Sáu,birth_date,"Đất Đỏ, Bà Rịa, Liên bang Đông Dương",Du kích,,Việt Nam,ethnicity,,,,,,
Robert Hải,Robert Hải,birth_date,,Diễn viên,,Việt Nam,ethnicity,,,Thùy Dung,,,
Tăng Thanh Hà,Tăng Thanh Hà,birth_date,"Gò Công, Tiền Giang, Việt Nam","Diễn viên, Người mẫu",Trường Đại học RMIT,Việt Nam,ethnicity,2002 – nay,,Louis Nguyễn (2012),3,,
Bảo Thanh (diễn viên),Bảo Thanh (diễn viên),birth_date,"Bắc Giang, Việt Nam",Diễn viên,Trường Đại học Sân khấu – Điện ảnh Hà Nội,Việt Nam,ethnicity,2000–nay,,Đức Thắng (2011),2,,
Kiều Chinh,Kiều Chinh,birth_date,,"Diễn viên, phát ngôn viên, người theo chủ nghĩa nhân đạo, người hoạt động từ thiện",,,ethnicity,,,''Nguyễn Năng Tế'' (1956 – 1981),,,
Nguyễn Minh Trang,Nguyễn Minh Trang,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa","Diễn viên kịch, Diễn viên truyền hình, Diễn viên điện ảnh",,"Việt Nam, Singapore",ethnicity,1980 – nay,,,,,"Hà My Của Tôi, Tôi và chúng ta, Cô Gái Đội Mũ Nồi Xám, Lôi Vũ, Gái Giang Hồ Quốc tế, Mê Thảo, thời vang bóng, Một Cuộc Đời Bị Đánh Cắp, Chung cư, Phượng khấu."
Nhung Kate (diễn viên),Nhung Kate (diễn viên),birth_date,,,,,ethnicity,,,,,,
Suboi,Suboi,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",* Rapper * Ca sĩ kiêm sáng tác nhạc * Diễn viên,,Việt Nam,ethnicity,2005–nay,,Dôn Nguyễn (2019),1,,
Thùy Anh,Thùy Anh,birth_date,"Hà Nội, Việt Nam",Diễn viên,Học viện Ngân hàng,Việt Nam,ethnicity,2009–nay,"1,67m",,,,
Thanh Duy,Thanh Duy,birth_date,"Trà Vinh, Việt Nam","Ca sĩ, Diễn viên",Đại học Cần Thơ,Việt Nam,ethnicity,2008–nay,"1,70m",,,Phạm Trần Phương (em trai),
Quốc Khánh (nghệ sĩ),Quốc Khánh (nghệ sĩ),birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa",Diễn viên,,Việt Nam,ethnicity,1990nay,,,,,
Tú Trinh,Tú Trinh,birth_date,Sài Gòn,"Nghệ sĩ cải lương, Diễn viên truyền hình, Diễn viên kịch, Diễn viên lồng tiếng",,Việt Nam,ethnicity,,,,,,
Tất Bình,Tất Bình,birth_date,"Hà Nội, Việt Nam Dân chủ Cộng hòa","Đạo diễn, Diễn viên",,Việt Nam,ethnicity,1981 &ndash; nay,,,,,
Hà Kiều Anh,Hà Kiều Anh,birth_date,,,,,ethnicity,,,,,,
Lương Mạnh Hải,Lương Mạnh Hải,birth_date,"Hà Nội, Việt Nam",Diễn viên,Học viện Ngân hàng,,ethnicity,2002 – nay,,,,,
Hồ Vĩnh Khoa,Hồ Vĩnh Khoa,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, ca sĩ, vũ công",,Việt Nam,ethnicity,,,Rhonee Rojas,,,
Thiên Kim (diễn viên),Thiên Kim (diễn viên),birth_date,"Sài Gòn, Nam Kỳ, Liên bang Đông Dương","Nghệ sĩ cải lương, Diễn viên",,Việt Nam,ethnicity,1941 – 2023,,,,,
Nhã Phương,Nhã Phương,birth_date,,,,,ethnicity,,,,,,
Bảo Trúc,Bảo Trúc,birth_date,,,,,ethnicity,,,,,,
Diễm Châu,Diễm Châu,birth_date,,,,,ethnicity,,,,,,
Mạnh Hùng,Mạnh Hùng,birth_date,,,,,ethnicity,,,,,,
Vy Oanh,Vy Oanh,birth_date,"Phan Thiết, Bình Thuận, Việt Nam","Ca sĩ, Nhạc sĩ, Diễn viên",,Việt Nam,ethnicity,2007–nay,,Lê Thiện (2014),3,,
Thảo Trang (diễn viên),Thảo Trang (diễn viên),birth_date,,,,,ethnicity,,,,,,
Diệp Bảo Ngọc,Diệp Bảo Ngọc,birth_date,,,,,ethnicity,,,,,,
Phạm Trưởng,Phạm Trưởng,birth_date,"Gia Lai, Việt Nam",,,,ethnicity,2006 - nay,,,,,
Ốc Thanh Vân,Ốc Thanh Vân,birth_date,"Hải Phòng, Việt Nam","Diễn viên, Người dẫn chương trình",Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2004 – nay,,Nguyễn Minh Trí (2008),3,,
Minh Anh (diễn viên),Minh Anh (diễn viên),birth_date,,,,,ethnicity,,,,,,
Dương Yến Ngọc,Dương Yến Ngọc,birth_date,,,,,ethnicity,,,,,,
Tống Bạch Thủy,Tống Bạch Thủy,birth_date,,,,,ethnicity,,,,,,
Ngọc Nga,Ngọc Nga,birth_date,,,,,ethnicity,,,,,,
Trương Thanh Long,Trương Thanh Long,birth_date,,,,,ethnicity,,,,,,
Hải Đông,Hải Đông,birth_date,,,,,ethnicity,,,,,,
Thanh Thúy (diễn viên sinh 1982),Thanh Thúy (diễn viên sinh 1982),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Doanh nhân, Người dẫn chương trình, Nhà sản xuất điện ảnh",,Việt Nam,ethnicity,2002 – nay,,Đỗ Đức Thịnh (2008),2,,
Như Cầm,Như Cầm,birth_date,,,,,ethnicity,,,,,,
Lãnh Thanh,Lãnh Thanh,birth_date,,,,,ethnicity,,,,,,
Angela Phương Trinh,Angela Phương Trinh,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên, Người mẫu",,Việt Nam,ethnicity,,,,,,
Đỗ Đức Thịnh,Đỗ Đức Thịnh,birth_date,"Sài Gòn – Gia Định, Cộng hòa miền Nam Việt Nam","Diễn viên, Doanh nhân, Nhà làm phim",,Việt Nam,ethnicity,2002–nay,,Lê Thị Thanh Thúy (2008),2,,Danh sách
Thanh Thúy (sinh 1982),Thanh Thúy (sinh 1982),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Doanh nhân, Người dẫn chương trình, Nhà sản xuất điện ảnh",,Việt Nam,ethnicity,2002 – nay,,Đỗ Đức Thịnh (2008),2,,
